a あ ア
i い イ
u う ウ
e え エ
o お オ
ka か カ
ki き キ
ku く ク
ke け ケ
ko こ コ
sa さ サ
si し シ
shi し シ
su す ス
se せ セ
so そ ソ
ta た タ
ti ち チ
chi ち チ
tu つ トウ
tsu つ ツ
te て テ
to と ト
na な ナ
ni に ニ
nu ぬ ヌ
ne ね ネ
no の ノ
ha は ハ
hi ひ ヒ
hu ふ フ
fu ふ フ
he へ ヘ
ho ほ ホ
ma ま マ
mi み ミ
mu む ム
me め メ
mo も モ
ya や ヤ
yu ゆ ユ
yo よ ヨ
ra ら ラ
ri り リ
ru る ル
re れ レ
ro ろ ロ
wa わ ワ
wi うぃ
we うぇ
wo を ヲ
n ん ン
ga が ガ
gi ぎ ギ
gu ぐ グ
ge げ ゲ
go ご ゴ
za ざ ザ
zi じ ジ
zu ず ズ
ze ぜ ゼ
zo ぞ ゾ
da だ ダ
di ぢ ヂ
du づ ヅ
de で デ
do ど ド
ba ば バ
bi び ビ
bu ぶ ブ
be べ ベ
bo ぼ ボ
pa ぱ パ
pi ぴ ピ
pu ぷ プ
pe ぺ ペ
po ぽ ポ
kya きゃ キャ
kyu きゅ キュ
kyo きょ キョ
sya しゃ シャ
syu しゅ シュ
syo しょ ショ
cya ちゃ チャ
cyu ちゅ チュ
cyo ちょ チョ
dya ぢゃ ヂャ
dyi ぢぃ ヂィ
dyu ぢゅ ヂュ
dye ぢぇ ヂェ
dyo ぢょ ヂョ
dha でゃ デャ
dhi でぃ ディ
dhu でゅ デュ
dhe でぇ デェ
dho でょ デョ
dwa どぁ ドァ
dwi どぃ ドィ
dwu どぅ ドゥ
dwe どぇ ドェ
dwo どぉ ドォ
tsa つぁ ツァ
tsi つぃ ツィ
tse つぇ ツェ
tso つぉ ツォ
twa とぁ トァ
twi とぃ トィ
twu とぅ トゥ
twe とぇ トェ
two とぉ トォ
tha テャ テャ
thi ティ ティ
thu テュ テュ
the テェ テェ
tho テョ テョ
nya にゃ ニャ
nyu にゅ ニュ
nyo にょ ニョ
hya ひゃ ヒャ
hyu ひゅ ヒュ
hyo ひょ ヒョ
mya みゃ ミャ
myu みゅ ミュ
myo みょ ミョ
rya りゃ リャ
ryu りゅ リュ
ryo りょ リョ
gya ぎゃ ギャ
gyu ぎゅ ギュ
gyo ぎょ ギョ
zya じゃ ジャ
zyu じゅ ジュ
zyo じょ ジョ
dya ぢゃ ヂャ
dyu ぢゅ ヂュ
dyo ぢょ ヂョ
bya びゃ ビャ
byu びゅ ビュ
byo びょ ビョ
pya ぴゃ ピャ
pyu ぴゅ ピュ
pyo ぴょ ピョ
sya しゃ シャ
syu しゅ シュ
syo しょ ショ
hwa ふぁ ファ
hwi ふぃ フィ
hwe ふぇ フェ
hwo ふぉ フォ
hwyu ふゅ フュ
mya みゃ ミャ
myi みぃ ミィ
myu みゅ ミュ
mye みぇ ミェ
myo みょ ミョ
fa ふぁ ファ
fi ふぃ フィ
fe ふぇ フェ
fo ふぉ フォ
fya ふゃ フャ
fyu ふゅ フュ
fyo ふょ フョ
va ゔぁ ヴァ
vi ゔぃ ヴィ
vu ゔ ヴ
ve ゔぇ ヴェ
vo ゔぉ ヴォ
vya ゔゃ ヴャ
vyi ゔぃ ヴィ
vyu ゔゅ ヴュ
vye ゔぇ ヴェ
vyo ゔょ ヴョ
za ざ ザ
zi じ ジ
ji じ ジ
zu ず ズ
ze ぜ ゼ
zo ぞ ゾ
. 。 。
[ 「 「
] 」 」
- ー
~ 〜
